Date,Ticker,Total Revenue,Cost Of Revenue,Operating Expense,EBIT,Interest Expense,Pretax Income,Tax Provision,Net Income,Diluted Average Shares,Depreciation And Amortization In Income Statement,Cash And Cash Equivalents,Accounts Receivable,Inventory,Accounts Payable,Working Capital,Net PPE,Gross PPE,Accumulated Depreciation,Stock Based Compensation,Total Debt,Long Term Debt,Current Debt,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Change In Working Capital,Stockholders Equity,Invested Capital,Total Assets
2023-06-30,MSFT,211915000000.0,65863000000.0,57529000000.0,91279000000.0,1968000000.0,89311000000.0,16950000000.0,72361000000.0,7472000000.0,,34704000000.0,48688000000.0,2500000000.0,18095000000.0,80108000000.0,109987000000.0,178238000000.0,-68251000000.0,9611000000.0,59965000000.0,41990000000.0,5247000000.0,87582000000.0,-28107000000.0,59475000000.0,-2388000000.0,206223000000.0,253460000000.0,411976000000.0
2024-06-30,MSFT,245122000000.0,74114000000.0,61575000000.0,110722000000.0,2935000000.0,107787000000.0,19651000000.0,88136000000.0,7469000000.0,,18315000000.0,56924000000.0,1246000000.0,21996000000.0,34448000000.0,154552000000.0,230973000000.0,-76421000000.0,10734000000.0,67127000000.0,42688000000.0,8942000000.0,118548000000.0,-44477000000.0,74071000000.0,1824000000.0,268477000000.0,320107000000.0,512163000000.0
2025-06-30,MSFT,281724000000.0,87831000000.0,65365000000.0,126012000000.0,2385000000.0,123627000000.0,21795000000.0,101832000000.0,7465000000.0,,30242000000.0,69905000000.0,938000000.0,27724000000.0,49913000000.0,229789000000.0,323442000000.0,-93653000000.0,11974000000.0,60588000000.0,40152000000.0,2999000000.0,136162000000.0,-64551000000.0,71611000000.0,-5350000000.0,343479000000.0,386630000000.0,619003000000.0
2020-12-31,GOOGL,,,,,,,,,,,,,728000000.0,,,,,,,,,,,,,,,,
2021-12-31,GOOGL,257637000000.0,110939000000.0,67984000000.0,91080000000.0,346000000.0,90734000000.0,14701000000.0,76033000000.0,13553480000.0,,20945000000.0,39304000000.0,1170000000.0,6037000000.0,123889000000.0,110558000000.0,159972000000.0,-49414000000.0,15376000000.0,28395000000.0,12844000000.0,,91652000000.0,-24640000000.0,67012000000.0,-1523000000.0,251635000000.0,264479000000.0,359268000000.0
2022-12-31,GOOGL,282836000000.0,126203000000.0,81791000000.0,71685000000.0,357000000.0,71328000000.0,11356000000.0,59972000000.0,13159000000.0,,21879000000.0,40258000000.0,2670000000.0,5128000000.0,95495000000.0,127049000000.0,186091000000.0,-59042000000.0,19362000000.0,29679000000.0,12857000000.0,,91495000000.0,-31485000000.0,60010000000.0,-2235000000.0,256144000000.0,269001000000.0,365264000000.0
2023-12-31,GOOGL,307394000000.0,133332000000.0,89769000000.0,86025000000.0,308000000.0,85717000000.0,11922000000.0,73795000000.0,12722000000.0,,24048000000.0,47964000000.0,,7493000000.0,89716000000.0,148436000000.0,215894000000.0,-67458000000.0,22460000000.0,27121000000.0,11870000000.0,,101746000000.0,-32251000000.0,69495000000.0,-3845000000.0,283379000000.0,295249000000.0,402392000000.0
2024-12-31,GOOGL,350018000000.0,146306000000.0,91322000000.0,120083000000.0,268000000.0,119815000000.0,19697000000.0,100118000000.0,12447000000.0,,23466000000.0,52340000000.0,,7987000000.0,74589000000.0,184624000000.0,264014000000.0,-79390000000.0,22785000000.0,25461000000.0,10883000000.0,,125299000000.0,-52535000000.0,72764000000.0,-8406000000.0,325084000000.0,335967000000.0,450256000000.0
2020-12-31,AMZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AMZN,469822000000.0,272344000000.0,172599000000.0,39960000000.0,1809000000.0,38151000000.0,4791000000.0,33364000000.0,10300000000.0,,36220000000.0,32891000000.0,32640000000.0,78664000000.0,19314000000.0,216363000000.0,294882000000.0,-78519000000.0,12757000000.0,116395000000.0,48744000000.0,,46327000000.0,-61053000000.0,-14726000000.0,-19611000000.0,138245000000.0,186989000000.0,420549000000.0
2022-12-31,AMZN,513983000000.0,288831000000.0,212904000000.0,-3569000000.0,2367000000.0,-5936000000.0,-3217000000.0,-2722000000.0,10189000000.0,,53888000000.0,42360000000.0,34405000000.0,79600000000.0,-8602000000.0,252838000000.0,349853000000.0,-97015000000.0,19621000000.0,140118000000.0,67150000000.0,,46752000000.0,-63645000000.0,-16893000000.0,-20886000000.0,146043000000.0,213193000000.0,462675000000.0
2023-12-31,AMZN,574785000000.0,304739000000.0,233194000000.0,40739000000.0,3182000000.0,37557000000.0,7120000000.0,30425000000.0,10492000000.0,,73387000000.0,52253000000.0,33318000000.0,84981000000.0,7434000000.0,276690000000.0,396801000000.0,-120111000000.0,24023000000.0,135611000000.0,58314000000.0,,84946000000.0,-52729000000.0,32217000000.0,-11541000000.0,201875000000.0,260189000000.0,527854000000.0
2024-12-31,AMZN,637959000000.0,326288000000.0,243078000000.0,71020000000.0,2406000000.0,68614000000.0,9265000000.0,59248000000.0,10721000000.0,,78779000000.0,55451000000.0,34214000000.0,94363000000.0,11436000000.0,328806000000.0,470196000000.0,-141390000000.0,22011000000.0,130900000000.0,52623000000.0,,115877000000.0,-82999000000.0,32878000000.0,-15541000000.0,285970000000.0,338593000000.0,624894000000.0
2020-12-31,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,BA,62286000000.0,59237000000.0,6406000000.0,-2319000000.0,2714000000.0,-5033000000.0,-743000000.0,-4202000000.0,588000000.0,,8052000000.0,3026000000.0,78823000000.0,9261000000.0,26674000000.0,10918000000.0,31456000000.0,-20538000000.0,833000000.0,58370000000.0,56687000000.0,1235000000.0,-3416000000.0,-980000000.0,-4396000000.0,-6977000000.0,-14999000000.0,42923000000.0,138552000000.0
2022-12-31,BA,66608000000.0,63078000000.0,7039000000.0,-2461000000.0,2561000000.0,-5022000000.0,31000000.0,-4935000000.0,595200000.0,,14614000000.0,2628000000.0,78151000000.0,10200000000.0,19471000000.0,12000000000.0,33442000000.0,-21442000000.0,725000000.0,57277000000.0,51670000000.0,5125000000.0,3512000000.0,-1222000000.0,2290000000.0,4139000000.0,-15883000000.0,40912000000.0,137100000000.0
2023-12-31,BA,77794000000.0,70070000000.0,8545000000.0,454000000.0,2459000000.0,-2005000000.0,237000000.0,-2222000000.0,606100000.0,,12691000000.0,2713000000.0,79741000000.0,11964000000.0,13448000000.0,11521000000.0,33766000000.0,-22245000000.0,690000000.0,52603000000.0,46927000000.0,5127000000.0,5960000000.0,-1527000000.0,4433000000.0,4089000000.0,-17233000000.0,34821000000.0,137012000000.0
2024-12-31,BA,66517000000.0,68508000000.0,8833000000.0,-9485000000.0,2725000000.0,-12210000000.0,-381000000.0,-11817000000.0,647200000.0,,13801000000.0,2717000000.0,87550000000.0,11364000000.0,30920000000.0,11726000000.0,34651000000.0,-22925000000.0,407000000.0,54188000000.0,52433000000.0,1192000000.0,-12080000000.0,-2318000000.0,-14398000000.0,-8768000000.0,-3908000000.0,49711000000.0,156363000000.0
2024-12-31,GD,47716000000.0,40352000000.0,2568000000.0,4933000000.0,393000000.0,4540000000.0,758000000.0,3782000000.0,277500000.0,,1697000000.0,2977000000.0,9724000000.0,3344000000.0,6562000000.0,6467000000.0,13564000000.0,-7097000000.0,183000000.0,10676000000.0,7260000000.0,1502000000.0,4112000000.0,-916000000.0,3196000000.0,-584000000.0,22063000000.0,30825000000.0,55880000000.0
2023-12-31,GD,42272000000.0,35600000000.0,2427000000.0,4383000000.0,399000000.0,3984000000.0,669000000.0,3315000000.0,275700000.0,,1913000000.0,3004000000.0,8578000000.0,3095000000.0,7183000000.0,6198000000.0,13000000000.0,-6802000000.0,181000000.0,11083000000.0,8754000000.0,507000000.0,4710000000.0,-904000000.0,3806000000.0,635000000.0,21299000000.0,30560000000.0,54810000000.0
2022-12-31,GD,39407000000.0,32785000000.0,2411000000.0,4427000000.0,391000000.0,4036000000.0,646000000.0,3390000000.0,278200000.0,,1242000000.0,3008000000.0,6322000000.0,3398000000.0,5722000000.0,5900000000.0,12292000000.0,-6392000000.0,165000000.0,12114000000.0,9243000000.0,1253000000.0,4579000000.0,-1114000000.0,3465000000.0,680000000.0,18568000000.0,29064000000.0,51585000000.0
2021-12-31,GD,38469000000.0,32061000000.0,2245000000.0,4304000000.0,431000000.0,3873000000.0,616000000.0,3257000000.0,282000000.0,,1603000000.0,3041000000.0,5340000000.0,3167000000.0,6009000000.0,5417000000.0,11464000000.0,-6047000000.0,126000000.0,13175000000.0,10490000000.0,1005000000.0,4271000000.0,-887000000.0,3384000000.0,636000000.0,17641000000.0,29136000000.0,50073000000.0
2020-12-31,GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NET,656426000.0,147134000.0,636976000.0,-198742000.0,49234000.0,-247976000.0,12333000.0,-260309000.0,312321000.0,,313777000.0,95543000.0,,26086000.0,1667291000.0,314050000.0,434263000.0,-120213000.0,90137000.0,1293206000.0,1146877000.0,12117000.0,64648000.0,-107738000.0,-43090000.0,3390000.0,815798000.0,1974792000.0,2372071000.0
2022-12-31,NET,975241000.0,232610000.0,943834000.0,-185749000.0,4984000.0,-190733000.0,2648000.0,-193381000.0,326332000.0,,204178000.0,148544000.0,,35607000.0,1490014000.0,418960000.0,597861000.0,-178901000.0,202777000.0,1577091000.0,1436192000.0,,123595000.0,-163364000.0,-39769000.0,-79296000.0,623964000.0,2060156000.0,2587908000.0
2023-12-31,NET,1296745000.0,307005000.0,1175225000.0,-171990000.0,5872000.0,-177862000.0,6087000.0,-183949000.0,333656000.0,,86864000.0,248268000.0,,53727000.0,1415993000.0,461369000.0,679849000.0,-218480000.0,273989000.0,1435203000.0,1283362000.0,,254406000.0,-134942000.0,119464000.0,-104728000.0,763047000.0,2046409000.0,2759767000.0
2024-12-31,NET,1669626000.0,378702000.0,1445685000.0,-65675000.0,5196000.0,-70871000.0,7929000.0,-78800000.0,341411000.0,,147691000.0,316753000.0,,105807000.0,1475343000.0,635799000.0,916117000.0,-280318000.0,338461000.0,1463213000.0,1287321000.0,,380429000.0,-213514000.0,166915000.0,-108922000.0,1046201000.0,2333522000.0,3301162000.0
